# Raman tensor in 10^(-30) Cm^2/V
# mode: 87   phonon freq: 269.544951
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.87473+0.00000j 3.932e-02+1.311e-02j 0.000e+00+0.000e+00j -4.746e-01+1.835e-01j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.441e+01+0.000e+00j 2.820e+01+0.000e+00j
0.88424+0.00000j 3.932e-02+1.311e-02j 0.000e+00+0.000e+00j -1.721e+00+1.835e-01j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.452e+01+0.000e+00j 2.849e+01+0.000e+00j
0.89375+0.00000j 2.010e-02+0.000e+00j 0.000e+00+0.000e+00j -8.776e-01+1.005e-01j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.443e+01+0.000e+00j 2.826e+01+0.000e+00j
0.90325+0.00000j 5.247e-04+0.000e+00j 0.000e+00+0.000e+00j -2.291e-02+2.623e-03j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.91276+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.92227+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.93178+0.00000j 1.908e-02+6.360e-03j 0.000e+00+0.000e+00j 4.134e-01+1.081e-01j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.441e+01+0.000e+00j 2.819e+01+0.000e+00j
0.94128+0.00000j 3.865e-02+1.288e-02j 0.000e+00+0.000e+00j 8.375e-01+2.190e-01j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.443e+01+0.000e+00j 2.826e+01+0.000e+00j
0.95079+0.00000j 3.932e-02+0.000e+00j 0.000e+00+0.000e+00j 9.044e-01+2.359e-01j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.443e+01+0.000e+00j 2.827e+01+0.000e+00j
0.96030+0.00000j 3.932e-02+0.000e+00j 0.000e+00+0.000e+00j 9.044e-01+2.359e-01j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.443e+01+0.000e+00j 2.827e+01+0.000e+00j
0.96981+0.00000j 2.690e-02+6.724e-03j 0.000e+00+0.000e+00j 4.774e-01+1.278e-01j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.441e+01+0.000e+00j 2.820e+01+0.000e+00j
