# Raman tensor in 10^(-30) Cm^2/V
# mode: 8   phonon freq: 3111.638698
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.62754+0.00000j 6.248e+00+0.000e+00j 0.000e+00+0.000e+00j 8.738e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.103e+01+0.000e+00j 3.018e+01+0.000e+00j
0.63705+0.00000j 5.002e+00+0.000e+00j 0.000e+00+0.000e+00j 7.492e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.346e+00+0.000e+00j 2.523e+01+0.000e+00j
0.64655+0.00000j 4.968e+00+0.000e+00j 0.000e+00+0.000e+00j 7.259e+00-5.131e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.090e+00+0.000e+00j 2.467e+01+0.000e+00j
0.65606+0.00000j 4.955e+00+0.000e+00j 0.000e+00+0.000e+00j 7.044e+00-1.035e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.863e+00+0.000e+00j 2.418e+01+0.000e+00j
0.66557+0.00000j 4.954e+00+0.000e+00j 1.214e+00+0.000e+00j 8.239e+00-1.049e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.611e+00+0.000e+00j 2.812e+01+0.000e+00j
0.67508+0.00000j 4.954e+00+0.000e+00j 2.460e+00+0.000e+00j 9.485e+00-1.049e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.725e+00+0.000e+00j 3.246e+01+0.000e+00j
0.68459+0.00000j 4.967e+00-6.671e-03j 1.267e+00+0.000e+00j 9.721e+00-6.004e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.038e+01+0.000e+00j 3.150e+01+0.000e+00j
0.69410+0.00000j 4.980e+00-1.462e-04j 2.778e-02+0.000e+00j 9.956e+00-1.316e-03j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.216e+01+0.000e+00j 3.072e+01+0.000e+00j
0.70360+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.220e+01+0.000e+00j 3.070e+01+0.000e+00j
0.71311+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.220e+01+0.000e+00j 3.070e+01+0.000e+00j
0.72262+0.00000j 4.968e+00+0.000e+00j 0.000e+00+0.000e+00j 8.491e+00-6.390e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.045e+01+0.000e+00j 2.738e+01+0.000e+00j
0.73213+0.00000j 4.955e+00+0.000e+00j 0.000e+00+0.000e+00j 6.991e+00-1.291e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.809e+00+0.000e+00j 2.407e+01+0.000e+00j
0.74164+0.00000j 6.164e+00-1.311e-02j 0.000e+00+0.000e+00j 8.143e+00-1.311e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.040e+01+0.000e+00j 2.875e+01+0.000e+00j
0.75114+0.00000j 7.410e+00-1.311e-02j 0.000e+00+0.000e+00j 9.389e+00-1.311e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.212e+01+0.000e+00j 3.372e+01+0.000e+00j
0.76065+0.00000j 6.220e+00+0.000e+00j 0.000e+00+0.000e+00j 8.173e+00-1.311e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.046e+01+0.000e+00j 2.892e+01+0.000e+00j
0.77016+0.00000j 4.974e+00+0.000e+00j 0.000e+00+0.000e+00j 6.927e+00-1.311e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.750e+00+0.000e+00j 2.396e+01+0.000e+00j
0.77967+0.00000j 4.967e+00-1.220e+00j 0.000e+00+0.000e+00j 7.170e+00-7.352e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.151e+00+0.000e+00j 2.466e+01+0.000e+00j
0.78918+0.00000j 4.980e+00-2.460e+00j 0.000e+00+0.000e+00j 7.464e+00-1.748e-03j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.938e+00+0.000e+00j 2.585e+01+0.000e+00j
0.79868+0.00000j 6.196e+00-1.274e+00j 1.216e+00+0.000e+00j 8.687e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.490e+00+0.000e+00j 3.145e+01+0.000e+00j
0.80819+0.00000j 7.443e+00-2.821e-02j 2.462e+00+0.000e+00j 9.933e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 3.778e+01+0.000e+00j
0.81770+0.00000j 6.240e+00+0.000e+00j 1.272e+00+0.000e+00j 8.431e+00-7.652e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.985e+00+0.000e+00j 3.090e+01+0.000e+00j
0.82721+0.00000j 4.981e+00+0.000e+00j 2.607e-02+0.000e+00j 6.865e+00-1.548e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.655e+00+0.000e+00j 2.387e+01+0.000e+00j
0.83672+0.00000j 6.161e+00-1.311e-02j 0.000e+00+0.000e+00j 8.009e+00-1.704e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.028e+01+0.000e+00j 2.846e+01+0.000e+00j
0.84623+0.00000j 7.407e+00-1.311e-02j 0.000e+00+0.000e+00j 9.255e+00-1.704e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.200e+01+0.000e+00j 3.343e+01+0.000e+00j
0.85573+0.00000j 6.222e+00+0.000e+00j 0.000e+00+0.000e+00j 8.031e+00-1.835e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.032e+01+0.000e+00j 2.862e+01+0.000e+00j
0.86524+0.00000j 4.976e+00+0.000e+00j 0.000e+00+0.000e+00j 6.785e+00-1.835e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.610e+00+0.000e+00j 2.366e+01+0.000e+00j
